T,P,rho_L,rho_V,u_L,u_V,h_L,h_V,s_L,s_V
183.33,93381.31194942545,1234.4228092967392,2.764269829418288,-2406.154795627007,339691.6960185853,-2330.507042485668,373473.24330301577,-12.630344961163448,2037.2455637580947
183.58088312270834,94814.74368286485,1233.687052179794,2.8036560041746443,-1975.6103455053303,339805.30966844776,-1898.7555681810002,373623.5611021752,-10.283235648477923,2035.2582732642536
183.8317662454167,96265.54223936336,1232.9508250072267,2.8434779257792773,-1545.0396293105548,339918.78669262584,-1466.9622718952114,373773.64498661936,-7.93918449381829,2033.2782553558648
184.08264936812503,97733.8548355522,1232.2141249378856,2.883738910883351,-1114.4416568325005,340032.1261543489,-1035.126014479787,373923.4935269961,-5.598177710866362,2031.3054676274876
184.3335324908334,99219.82927452671,1231.47694912391,2.9244422890309343,-683.8154388247629,340145.32711664186,-603.2456568692436,374073.1052939291,-3.2602015741134798,2029.339867919103
184.58441561354172,100723.61394349198,1230.7392947106491,2.965591402679034,-253.159986979057,340258.3886423022,-171.32006005419098,374222.4788579988,-0.9252424183881981,2027.3814143142592
184.83529873625005,102245.35781139828,1230.0011588365783,3.0071896072186632,177.52568610100715,340371.30979387753,260.6519149472762,374371.6127897227,1.4067133616220748,2025.430065138227
185.0861818589584,103785.21042656228,1229.2625386332186,3.0492402709968585,608.2425669250098,340484.08963364223,692.6714071148043,374520.5056595351,3.735679311842389,2023.4857789561702
185.33706498166674,105343.32191427588,1228.5234312250498,3.0917467753396988,1038.9916411414274,340596.72722357244,1124.7395554552095,374669.1560377642,6.061668919272837,2021.54851457132
185.5879481043751,106919.84297440544,1227.7838337294304,3.134712514576384,1469.7738935637035,340709.2216253215,1556.8574990294087,374817.56249461096,8.384695612458524,2019.6182310231643
185.83883122708343,108514.92487897663,1227.0437432565102,3.1781408960642645,1900.5903081952804,340821.5719001942,1989.0263769780217,374965.7236001243,10.70477276195148,2017.6948875856467
186.0897143497918,110128.71946975116,1226.3031569091477,3.22203534021499,2331.4418682568125,340933.7771091203,2421.247328552979,375113.6379241776,13.021913680769059,2015.7784437653722
186.34059747250012,111761.37915579038,1225.562071782823,3.2663992805216306,2762.3295562105736,341045.83631262695,2853.5214931417095,375261.3040364429,15.336131624852152,2013.8688592998303
186.59148059520845,113413.05691101092,1224.8204849655517,3.3112361635869276,3193.254353786997,341157.7485708115,3285.850010295627,375408.72050636454,17.64743979351671,2011.9660941556197
